antenna,IF0,IF1,IF3,IF4
ea01,-0000015.442,-0000000.015,-0000007.716,+0000013.026
ea02,-0000015.401,-0000003.483,-0000013.613,+0000000.002
ea03,-0000004.908,-0000000.613,+0000007.725,-0000000.864
ea04,-0000005.905,+0000003.559,+0000001.764,+0000008.675
ea05,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea06,-0000011.686,+0000002.590,-0000018.033,+0000015.621
ea07,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea08,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea09,+0000001.203,+0000015.214,+0000001.926,-0000002.592
ea10,+0000000.000,+0000000.000,+0000000.000,-0000000.000
ea11,-0000008.293,-0000003.090,-0000006.886,-0000007.622
ea12,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea13,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea14,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea15,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea16,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea17,-0000003.456,+0000001.724,+0000005.242,+0000002.595
ea18,-0000011.269,-0000001.733,-0000015.345,-0000000.866
ea19,-0000003.906,+0000002.489,+0000006.182,+0000006.942
ea20,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea21,-0000008.059,+0000002.587,-0000022.650,+0000001.738
ea22,-0000016.202,+0000008.659,-0000014.230,+0000012.147
ea23,-0000025.789,-0000010.423,-0000026.949,+0000005.211
ea24,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea25,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea26,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea27,-0000001.002,-0000000.012,+0000007.732,+0000003.473
ea28,-0000006.550,-0000006.083,+0000004.957,-0000001.738
