antenna,IF0,IF1,IF3,IF4
ea01,-0000031.371,-0000007.805,-0000008.535,+0000026.367
ea02,-0000031.705,-0000017.842,-0000017.918,-0000000.977
ea03,-0000009.816,+0000007.080,+0000007.482,-0000001.953
ea04,-0000012.558,+0000005.869,+0000005.819,+0000017.578
ea05,-0000007.356,-0000007.956,-0000001.066,+0000005.859
ea06,-0000024.620,-0000015.737,-0000015.717,+0000031.250
ea07,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea08,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea09,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea10,+0000000.000,+0000000.000,+0000000.000,-0000000.000
ea11,-0000015.953,-0000010.733,-0000009.848,-0000015.625
ea12,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea13,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea14,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea15,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea16,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea17,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea18,-0000022.922,-0000017.102,-0000017.413,-0000001.953
ea19,-0000008.265,+0000008.575,+0000008.482,+0000013.672
ea20,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea21,-0000016.051,-0000020.380,-0000019.521,+0000003.906
ea22,-0000033.175,-0000005.820,-0000005.940,+0000023.441
ea23,-0000051.596,-0000037.221,-0000037.387,+0000010.555
ea24,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea25,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea26,-0000004.346,+0000007.249,-0000018.784,+0000008.799
ea27,-0000002.142,+0000007.870,+0000007.419,+0000006.836
ea28,-0000014.141,-0000001.069,+0000000.039,-0000003.906
