Baseline,res_pol0,res_pol1
ea01-ea01, 0.0, 0.0 
ea02-ea02, 0.0, 0.0 
ea03-ea03, 0.0, 0.0 
ea04-ea04, 0.0, 0.0 
ea06-ea06, 0.0, 0.0 
ea09-ea09, 0.0, 0.0 
ea10-ea10, 0.0, 0.0 
ea11-ea11, 0.0, 0.0 
ea17-ea17, 0.0, 0.0 
ea18-ea18, 0.0, 0.0 
ea19-ea19, 0.0, 0.0 
ea21-ea21, 0.0, 0.0 
ea22-ea22, 0.0, 0.0 
ea23-ea23, 0.0, 0.0 
ea27-ea27, 0.0, 0.0 
ea28-ea28, 0.0, 0.0 
ea01-ea02, -0.11015933752059937, 5.355212211608887 
ea01-ea03, -10.324132919311523, -16.401500701904297 
ea01-ea04, -9.721929550170898, -9.365013122558594 
ea01-ea06, -3.474669933319092, 9.71017837524414 
ea01-ea09, -11.494270324707031, -9.930987358093262 
ea01-ea10, -15.441890716552734, -7.716049671173096 
ea01-ea11, -7.903075218200684, -0.6511638760566711 
ea01-ea17, -12.012263298034668, -12.880318641662598 
ea01-ea18, -4.345663547515869, 7.107969284057617 
ea01-ea19, -11.117280960083008, -13.716059684753418 
ea01-ea21, -7.6714959144592285, 13.788030624389648 
ea01-ea22, 0.6374551653862, 5.844808578491211 
ea01-ea23, 10.50626277923584, 19.18682098388672 
ea01-ea27, -14.674692153930664, -15.544217109680176 
ea01-ea28, -7.587774753570557, -13.683257102966309 
ea02-ea03, -10.542492866516113, -21.818891525268555 
ea02-ea04, -9.61128044128418, -15.704803466796875 
ea02-ea06, -3.5304837226867676, 4.066103935241699 
ea02-ea09, -11.195616722106934, -15.577508926391602 
ea02-ea10, -15.400764465332031, -13.61324405670166 
ea02-ea11, -8.954730987548828, -6.938078880310059 
ea02-ea17, -12.16061019897461, -19.111913681030273 
ea02-ea18, -4.974795341491699, 1.800737738609314 
ea02-ea19, -11.254858016967773, -19.87470054626465 
ea02-ea21, -7.550076007843018, 8.942980766296387 
ea02-ea22, 0.9272966980934143, 0.9483493566513062 
ea02-ea23, 10.194389343261719, 12.843598365783691 
ea02-ea27, -14.782402992248535, -20.67274284362793 
ea02-ea28, -7.9980573654174805, -18.983638763427734 
ea03-ea04, 0.9654852151870728, 5.868309497833252 
ea03-ea06, 7.236733436584473, 26.007883071899414 
ea03-ea09, -0.514076828956604, 6.272226810455322 
ea03-ea10, -4.908210277557373, 7.724862098693848 
ea03-ea11, 3.4227728843688965, 14.713859558105469 
ea03-ea17, -1.6895990371704102, 2.334887981414795 
ea03-ea18, 6.251174449920654, 23.411062240600586 
ea03-ea19, -1.234763503074646, 1.8266862630844116 
ea03-ea21, 2.9106547832489014, 30.248291015625 
ea03-ea22, 11.387049674987793, 22.456350326538086 
ea03-ea23, 20.713380813598633, 34.55233383178711 
ea03-ea27, -3.9730801582336426, 0.7055091261863708 
ea03-ea28, 1.6435768604278564, 2.379441261291504 
ea04-ea06, 6.094503402709961, 20.172372817993164 
ea04-ea09, -1.7703827619552612, 0.2741743326187134 
ea04-ea10, -5.904539585113525, 1.7635283470153809 
ea04-ea11, 0.11897190660238266, 8.520458221435547 
ea04-ea17, -2.5615715980529785, -3.3581457138061523 
ea04-ea18, 4.415186405181885, 17.33761215209961 
ea04-ea19, -1.6484730243682861, -4.336851119995117 
ea04-ea21, 1.9951077699661255, 24.353042602539062 
ea04-ea22, 10.17970085144043, 16.22328758239746 
ea04-ea23, 19.491348266601562, 28.76040267944336 
ea04-ea27, -5.884466648101807, -5.813964366912842 
ea04-ea28, 1.9725862741470337, -3.5451719760894775 
ea06-ea09, -8.108216285705566, -19.990243911743164 
ea06-ea10, -11.68619155883789, -18.033329010009766 
ea06-ea11, -4.708944320678711, -11.242618560791016 
ea06-ea17, -8.250690460205078, -23.27348518371582 
ea06-ea18, -0.9757667779922485, -2.5302374362945557 
ea06-ea19, -7.879574775695801, -24.382909774780273 
ea06-ea21, -4.492542743682861, 4.29719352722168 
ea06-ea22, 4.113104820251465, -3.694009304046631 
ea06-ea23, 14.113122940063477, 8.731964111328125 
ea06-ea27, -11.203450202941895, -25.08597183227539 
ea06-ea28, -5.063412666320801, -23.536888122558594 
ea09-ea10, 1.2029387950897217, 1.9255849123001099 
ea09-ea11, 1.8041647672653198, 8.606627464294434 
ea09-ea17, -1.0609564781188965, -3.6665916442871094 
ea09-ea18, 6.1322021484375, 17.339570999145508 
ea09-ea19, 0.40342798829078674, -4.225223064422607 
ea09-ea21, 3.631340742111206, 24.048513412475586 
ea09-ea22, 12.088639259338379, 16.486202239990234 
ea09-ea23, 20.625255584716797, 28.399080276489258 
ea09-ea27, -4.4568023681640625, -5.4692888259887695 
ea09-ea28, 3.3958449363708496, -3.3214259147644043 
ea10-ea11, 8.29328441619873, 6.886181354522705 
ea10-ea17, 3.455575466156006, -5.242115497589111 
ea10-ea18, 11.268566131591797, 15.345439910888672 
ea10-ea19, 3.906005382537842, -6.181651592254639 
ea10-ea21, 8.059256553649902, 22.649742126464844 
ea10-ea22, 16.201745986938477, 14.23013687133789 
ea10-ea23, 25.788541793823242, 26.948894500732422 
ea10-ea27, 1.0022048950195312, -7.731716156005859 
ea10-ea28, 6.550318717956543, -4.9566802978515625 
ea11-ea17, -3.1084513664245605, -12.353510856628418 
ea11-ea18, 3.4340333938598633, 8.627679824829102 
ea11-ea19, -1.9211788177490234, -13.234296798706055 
ea11-ea21, 0.7559377551078796, 15.78411865234375 
ea11-ea22, 8.038694381713867, 7.774801254272461 
ea11-ea23, 18.682044982910156, 19.925615310668945 
ea11-ea27, -7.100135803222656, -14.801497459411621 
ea11-ea28, 0.24675646424293518, -12.423523902893066 
ea17-ea18, 7.930492877960205, 19.972618103027344 
ea17-ea19, 0.839658796787262, -0.9370886087417603 
ea17-ea21, 4.1180009841918945, 27.442399978637695 
ea17-ea22, 13.624015808105469, 19.295513153076172 
ea17-ea23, 22.51314353942871, 32.17827224731445 
ea17-ea27, -2.689356565475464, -2.6629183292388916 
ea17-ea28, 3.8482329845428467, -1.1192185878753662 
ea18-ea19, -6.916047096252441, -21.677398681640625 
ea18-ea21, -3.0575335025787354, 6.813721179962158 
ea18-ea22, 5.410536289215088, -0.9664644598960876 
ea18-ea23, 14.479342460632324, 11.498677253723145 
ea18-ea27, -10.342247009277344, -22.49796485900879 
ea18-ea28, -3.5392966270446777, -20.812278747558594 
ea19-ea21, 3.726322889328003, 28.49063491821289 
ea19-ea22, 11.821808815002441, 20.743736267089844 
ea19-ea23, 21.94373893737793, 32.91463088989258 
ea19-ea27, -4.371122360229492, -1.7552051544189453 
ea19-ea28, 3.4291372299194336, 1.081030011177063 
ea21-ea22, 8.821070671081543, -7.6156816482543945 
ea21-ea23, 17.531492233276367, 4.201232433319092 
ea21-ea27, -7.392914772033691, -29.41352081298828 
ea21-ea28, -0.21640188992023468, -27.871288299560547 
ea22-ea23, 9.367952346801758, 12.284477233886719 
ea22-ea27, -15.319491386413574, -21.953041076660156 
ea22-ea28, -9.560361862182617, -19.84728240966797 
ea23-ea27, -25.384628295898438, -34.725162506103516 
ea23-ea28, -18.129291534423828, -32.05195617675781 
ea27-ea28, 5.987281322479248, 1.7674450874328613 
