antenna,IF0,IF1,IF3,IF4
ea01,-0003086.328,-0003086.328,-0003091.299,-0003078.460
ea02,-0008057.805,-0008057.805,-0008064.197,-0008054.084
ea03,-0001603.656,-0001603.656,-0001615.570,-0001613.407
ea04,-0002462.034,-0002462.034,-0002469.847,-0002462.620
ea05,+0002100.422,+0002100.422,+0002090.479,+0002098.971
ea06,+0000227.405,+0000227.405,+0000232.614,+0000247.201
ea07,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea08,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea09,+0003002.769,+0003002.769,+0002997.932,+0002992.177
ea10,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea11,+0001640.621,+0001640.621,+0001641.310,+0001639.712
ea12,+0000850.125,+0000850.125,+0000843.180,+0000843.983
ea13,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea14,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea15,-0006386.755,-0006386.755,-0006371.130,-0006371.130
ea16,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea17,-0000435.852,-0000435.852,-0000443.421,-0000444.610
ea18,-0004413.293,-0004413.293,-0004405.481,-0004399.820
ea19,-0003880.712,-0003880.712,-0003889.393,-0003887.718
ea20,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea21,-0007294.288,-0007294.288,-0007278.663,-0007277.061
ea22,+0001169.835,+0001169.835,+0001176.938,+0001182.532
ea23,-0000925.713,-0000925.713,-0000921.807,-0000901.341
ea24,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea25,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea26,-0001396.152,-0001396.152,-0001380.038,-0001376.125
ea27,+0000966.405,+0000966.405,+0000952.603,+0000953.589
ea28,+0001945.172,+0001945.172,+0001933.223,+0001936.833
