antenna,IF0,IF1,IF3,IF4
ea01,-0003084.750,-0003101.156,-0003088.656,-0003094.085
ea02,-0008055.307,-0008070.064,-0008061.384,-0008054.084
ea03,-0001602.615,-0001617.770,-0001614.985,-0001613.407
ea04,-0002458.731,-0002476.159,-0002465.943,-0002478.245
ea05,+0002101.599,+0002092.921,+0002092.553,+0002083.346
ea06,+0000231.201,+0000222.272,+0000237.897,+0000231.576
ea07,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea08,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea09,+0003002.397,+0002982.523,+0002998.881,+0002992.177
ea10,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea11,+0001642.226,+0001638.598,+0001641.966,+0001639.712
ea12,+0000850.055,+0000833.700,+0000843.219,+0000836.171
ea13,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea14,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea15,-0006386.755,--,-0006371.130,+0000836.171
ea16,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea17,-0000435.910,-0000447.585,-0000443.983,-0000444.610
ea18,-0004413.293,-0004414.596,-0004405.481,-0004399.820
ea19,-0003880.712,-0003896.207,-0003889.393,-0003887.718
ea20,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea21,-0007294.288,-0007282.870,-0007278.663,-0007277.061
ea22,+0001169.936,+0001162.496,+0001176.633,+0001166.907
ea23,-0000925.713,-0000936.439,-0000921.807,-0000901.341
ea24,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea25,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea26,-0001396.152,-0001393.084,-0001380.038,-0001391.750
ea27,+0000966.066,+0000945.516,+0000952.327,+0000953.589
ea28,+0001944.162,+0001932.475,+0001933.420,+0001936.833
