antenna,IF0,IF1,IF3,IF4
ea01,-0022962.143,-0022977.768,-0022977.768,-0022962.143
ea02,-0028224.408,-0028240.033,-0028240.033,-0028255.658
ea03,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea04,-0002477.198,-0002492.823,-0002492.823,-0002492.823
ea05,+0002112.438,+0002112.438,+0002112.438,+0002096.813
ea06,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea07,-0005924.302,-0005924.302,-0005939.927,-0005924.302
ea08,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea09,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea10,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea11,-0008515.743,-0008500.118,-0008500.118,-0008500.118
ea12,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea13,-0004736.584,-0004720.959,-0004705.334,-0004736.584
ea14,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea15,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea16,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea17,-0017632.471,-0017648.096,-0017632.471,-0017648.096
ea18,-0022432.646,-0022417.021,-0022432.646,-0022417.021
ea19,-0023665.141,-0023665.141,-0023665.141,-0023680.766
ea20,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea21,-0029519.772,-0029519.772,-0029504.147,-0029504.147
ea22,-0013564.466,-0013580.091,-0013580.091,-0013580.091
ea23,-0000919.076,-0000919.076,-0000934.701,-0000934.701
ea24,+0000000.000,+0000000.000,+0000000.000,+0000000.000
ea25,-0009037.581,-0009021.956,-0009037.581,-0009037.581
ea26,-0001529.033,-0001513.408,-0001513.408,-0001513.408
ea27,+0000947.271,+0000931.646,+0000931.646,+0000931.646
ea28,+0001954.371,+0001954.371,+0001954.371,+0001954.371
